Id,JobId,Title,Employer,Source,Description,Location,Industry,ExpiryDate,ScrappedDate
0,152105,Content Leader/Social Media Marketing Coordinator/Website Designer,13.12.2023 | MISSION AFRICA INSTITUTE OF TECHNOLOGY,https://www.ghanajob.com/job-vacancies-ghana/content-leadersocial-media-marketing-coordinatorwebsite-designer-152105,We are looking for a Content manager and Media Marketing Coordinator who can design or improve WebsitesResponsibilitiesA social media...,Region of : Greater Accra,,,12/13/2023 00:00:00
0,152151,Document Controller,13.12.2023 | ARCHTYPE GROUP,https://www.ghanajob.com/job-vacancies-ghana/document-controller-152151,"ResponsibilitiesControl the numbering, sorting, filling, storing and retrieval of both electronical and hard copy documents produced...",Region of : Ashanti - Brong Ahafo - Central - Eastern - Greater Accra -...,,,12/13/2023 00:00:00
0,152154,Business Development Officer,13.12.2023 | HCOWA GHANA LIMITED COMPANY,https://www.ghanajob.com/job-vacancies-ghana/business-development-officer-152154,"ResponsibilitiesIdentify and research prospects, clients or partners.Develop and present proposals to partnersAbility to sign up contracts...",Region of : Greater Accra,,,12/13/2023 00:00:00
0,152266,Intern/Product Design - Full Remote (Africa),13.12.2023 | AMAZETHU,https://www.ghanajob.com/job-vacancies-ghana/internproduct-design-full-remote-africa-152266,"Company DescriptionAmazéthu is a language and technology company. We use the latest in deep learning, speech processing and artificial...",Region of : Ashanti - Brong Ahafo - Central - Eastern - Greater Accra -...,,,12/13/2023 00:00:00
0,152461,Income Tax Specialist,13.12.2023 | AFRICAN TAX ADMINISTRATION FORUM (ATAF),https://www.ghanajob.com/job-vacancies-ghana/income-tax-specialist-152461,The African Tax Administration Forum (ATAF) has received financing from the African Development Fund toward the cost of the Regional...,Region of : International,,,12/13/2023 00:00:00
0,152462,Transfer Pricing Specialist,13.12.2023 | AFRICAN TAX ADMINISTRATION FORUM (ATAF),https://www.ghanajob.com/job-vacancies-ghana/transfer-pricing-specialist-152462,The African Tax Administration Forum (ATAF) has received financing from the African Development Fund toward the cost of the Regional...,Region of : International,,,12/13/2023 00:00:00
0,152550,Student Recruitment Officer,13.12.2023 | PUNZILA EDUCATIONAL SERVICES,https://www.ghanajob.com/job-vacancies-ghana/student-recruitment-officer-152550,This position within our management team will be responsible for overseeingall study abroad based recruitment activities for the companyin...,Region of : Greater Accra,,,12/13/2023 00:00:00
0,152642,Medical Representative,13.12.2023 | PHYTO-RIKER PHARMACEUTICALS LIMITED,https://www.ghanajob.com/job-vacancies-ghana/medical-representative-152642,DEPARTMENT: MARKETING &amp; SALES &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;...,Region of : Greater Accra,,,12/13/2023 00:00:00
0,152795,Administrative Assistant,13.12.2023 | AQUA SMILE,https://www.ghanajob.com/job-vacancies-ghana/administrative-assistant-152795,"WHAT YOU WILL DOOrganize and schedule appointmentsPlan meetings and take detailed minutesWrite and distribute email, correspondence memos,...",Region of : Volta,,,12/13/2023 00:00:00
0,152942,Online Tutors,13.12.2023 | EDUCIFY INC.,https://www.ghanajob.com/job-vacancies-ghana/online-tutors-152942,"We are seeking Tutors who will help our students in various fields (Language, IT, Science, Arts, Academics, Culinary and others)!You will...",Region of : Ashanti - Brong Ahafo - Central - Eastern - Greater Accra -...,,,12/13/2023 00:00:00
